GPS Log,,,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km),Unnamed: 9,Label
1,01:39.6,0,-2.468711,51.4071,44.4,0,0,0,,1
2,01:40.6,1,-2.467971,51.407103,31.4,208.8,184.9,0.051,,1
3,01:41.6,2,-2.467939,51.407071,32.9,269.6,15.2,0.056,,1
4,01:42.6,3,-2.467928,51.407064,31.8,270.7,3.9,0.057,,1
5,01:43.6,4,-2.467911,51.407071,31.8,270.7,5.1,0.058,,1
6,01:44.6,5,-2.46791,51.407069,32.2,270.7,0.8,0.058,,1
7,01:45.6,6,-2.467911,51.407069,33.3,270.7,0,0.058,,1
8,01:46.6,7,-2.467911,51.407069,33.2,259.9,0,0.058,,1
9,01:47.6,8,-2.467913,51.407068,32.8,161.4,0.5,0.058,,1
10,01:48.6,9,-2.467914,51.407066,32.6,150,1,0.059,,1
11,01:49.6,10,-2.467918,51.407065,32.3,165.3,1,0.059,,1
12,01:50.6,11,-2.467916,51.407064,32.8,164.2,0.6,0.059,,1
13,01:51.6,12,-2.467917,51.407063,32.8,171.4,0.5,0.059,,1
14,01:52.6,13,-2.467917,51.407063,32.8,170.3,0.3,0.059,,1
15,01:53.6,14,-2.467917,51.407063,33,166.5,0,0.059,,1
16,01:54.6,15,-2.467917,51.407061,32.8,163.3,0.8,0.06,,1
17,01:55.6,16,-2.467917,51.40706,32.8,163.3,0.7,0.06,,1
18,01:56.6,17,-2.467917,51.407058,32.8,171.5,0.6,0.06,,1
19,01:57.6,18,-2.467918,51.407058,32.8,166.3,0.3,0.06,,1
20,01:58.6,19,-2.46792,51.407057,32.8,168.4,0.5,0.06,,1
21,01:59.6,20,-2.467922,51.407057,32.9,155.2,0.6,0.06,,1
22,02:00.6,21,-2.467922,51.407056,32.8,269.4,0,0.06,,1
23,02:01.6,22,-2.467925,51.407054,33.5,266.5,1.4,0.061,,1
24,02:02.6,23,-2.467931,51.407056,34.1,267.5,1.8,0.061,,1
25,02:03.6,24,-2.467931,51.407056,34.1,269.6,0,0.061,,1
26,02:04.6,25,-2.46793,51.407059,34.6,279.8,1,0.061,,1
27,02:05.6,26,-2.467924,51.407055,35.2,302.6,2.2,0.062,,1
28,02:06.6,27,-2.467877,51.407095,35.4,321.3,19.9,0.068,,1
29,02:07.6,28,-2.467868,51.407082,35.3,335.4,5.8,0.069,,1
30,02:08.6,29,-2.467885,51.407078,35.3,340.8,4.7,0.071,,1
31,02:09.6,30,-2.467851,51.407077,35.2,341.8,8.6,0.073,,1
32,02:10.6,31,-2.467863,51.407077,35.3,354.3,3.1,0.074,,1
33,02:11.6,32,-2.46791,51.407114,35,1.9,18.7,0.079,,1
34,02:12.6,33,-2.467958,51.407139,36.5,3.9,15.7,0.083,,1
35,02:13.6,34,-2.468009,51.407185,36.4,0.8,22.5,0.09,,1
36,02:14.6,35,-2.468065,51.407229,36.3,356.7,22.4,0.096,,1
