GPS Log,,,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km),Unnamed: 9,Label
1,11:24.7,0,-2.386584,51.36372,135.7,0,0,0,,1
2,11:25.7,1,-2.386588,51.363725,134.8,285.6,2.3,0.001,,1
3,11:26.7,2,-2.386586,51.363727,133.7,284.4,0.9,0.001,,1
4,11:27.7,3,-2.386587,51.363729,133.6,284.4,0.9,0.001,,1
5,11:28.7,4,-2.386589,51.36373,132.5,284.4,0.5,0.001,,1
6,11:29.7,5,-2.386589,51.363732,132.6,284.4,0.7,0.001,,1
7,11:30.7,6,-2.386589,51.363733,132.3,282.3,0.6,0.002,,1
8,11:31.7,7,-2.38659,51.363735,131.8,284.5,0.8,0.002,,1
9,11:32.7,8,-2.386592,51.363736,131.5,284.5,0.6,0.002,,1
10,11:33.7,9,-2.386594,51.363736,131.5,281.4,0.3,0.002,,1
11,11:34.7,10,-2.386594,51.363736,131.5,284.6,0,0.002,,1
12,11:35.7,11,-2.386594,51.363735,131.3,284.6,0.5,0.002,,1
13,11:36.7,12,-2.386596,51.363734,131.2,278.7,0.6,0.002,,1
14,11:37.7,13,-2.386599,51.363734,131.4,295.3,0.7,0.003,,1
15,11:38.7,14,-2.386599,51.363734,131.7,286.4,0,0.003,,1
16,11:39.7,15,-2.386596,51.363732,130.8,286.4,0.9,0.003,,1
17,11:40.7,16,-2.386596,51.363732,130.8,286.4,0.3,0.003,,1
18,11:41.7,17,-2.386596,51.363732,130.8,286.4,0.3,0.003,,1
19,11:42.7,18,-2.386596,51.363732,130.8,286.4,0.3,0.003,,1
20,11:43.7,19,-2.386596,51.363732,130.8,286.4,0.3,0.003,,1
21,11:44.7,20,-2.386596,51.363732,130.8,286.4,0.3,0.003,,1
22,11:45.7,21,-2.386596,51.363732,130.8,286.4,0.3,0.003,,1
23,11:46.7,22,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
24,11:47.7,23,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
25,11:48.7,24,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
26,11:49.7,25,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
27,11:50.7,26,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
28,11:51.7,27,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
29,11:52.7,28,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
30,11:53.7,29,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
31,11:54.7,30,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
32,11:55.7,31,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
33,11:56.7,32,-2.386596,51.363732,130.8,286.4,0.3,0.004,,1
34,11:57.7,33,-2.386596,51.363732,130.8,286.4,0.3,0.005,,1
35,11:58.7,34,-2.386596,51.363732,130.8,286.4,0.3,0.005,,1
36,11:59.7,35,-2.386596,51.363732,130.8,286.4,0.3,0.005,,1
37,12:00.7,36,-2.386596,51.363732,130.8,26.5,0.3,0.005,,1
38,12:01.7,37,-2.386596,51.363732,130.8,26.5,0.3,0.005,,1
39,12:02.7,38,-2.386596,51.363732,130.8,26.5,0.3,0.005,,1
40,12:03.7,39,-2.386596,51.363732,130.8,26.5,0.3,0.005,,1
41,12:04.7,40,-2.386569,51.363722,135.2,27.5,8,0.007,,1
42,12:05.7,41,-2.386565,51.36372,135.5,28.6,1.1,0.008,,1
43,12:06.7,42,-2.386562,51.363721,135.4,28.6,0.8,0.008,,1
44,12:07.7,43,-2.386565,51.363721,135.3,28.6,0.8,0.008,,1
45,12:08.7,44,-2.386564,51.363722,135.3,337,0.5,0.008,,1
46,12:09.7,45,-2.386566,51.363724,135.3,0.5,1.1,0.009,,1
47,12:10.7,46,-2.386569,51.36372,135.5,359.4,1.6,0.009,,1
48,12:11.7,47,-2.386576,51.363724,135.4,354.1,2.5,0.01,,1
49,12:12.7,48,-2.386575,51.363725,135.4,352.9,0.5,0.01,,1
50,12:13.7,49,-2.386571,51.363723,135.4,355.6,1.2,0.01,,1
51,12:14.7,50,-2.386572,51.363723,135.2,355.6,0,0.01,,1
52,12:15.7,51,-2.386572,51.363723,135.2,353.3,0,0.01,,1
53,12:16.7,52,-2.386567,51.363727,135.3,351.1,2,0.011,,1
54,12:17.7,53,-2.386571,51.363732,135.5,351.1,2.6,0.011,,1
55,12:18.7,54,-2.386576,51.363736,135.7,352.2,1.9,0.012,,1
56,12:19.7,55,-2.386575,51.363737,135.5,357.2,0.6,0.012,,1
57,12:20.7,56,-2.386567,51.363734,135.3,12.4,2.5,0.013,,1
58,12:21.7,57,-2.386571,51.363734,135.2,21.7,1.1,0.013,,1
59,12:22.7,58,-2.386571,51.363734,135.4,7.8,0,0.013,,1
60,12:23.7,59,-2.386571,51.363736,135.6,7.8,0.8,0.013,,1
61,12:24.7,60,-2.386568,51.363737,135.3,7.7,0.8,0.014,,1
