GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
1,24:08.9,0,-2.386451,51.363772,135.6,0,0,0
2,24:10.9,2,-2.386574,51.363684,134.3,16.9,23.4,0.013
3,24:11.9,3,-2.386572,51.363695,133.8,16.9,4.4,0.014
4,24:12.9,4,-2.386581,51.363703,133.9,14.9,3.6,0.015
5,24:13.9,5,-2.386584,51.363707,134.4,16,2,0.016
6,24:14.9,6,-2.386585,51.363711,133.6,15,1.4,0.016
7,24:15.9,7,-2.386586,51.363714,134,2.9,1.3,0.017
8,24:16.9,8,-2.386586,51.363716,133.8,10.9,1,0.017
9,24:17.9,9,-2.386589,51.363718,134,6.7,1,0.017
10,24:18.9,10,-2.386591,51.363719,134,6.8,0.7,0.017
11,24:19.9,11,-2.386591,51.36372,134.1,6.8,0,0.017
12,24:20.9,12,-2.386589,51.36372,134.1,5.9,0.3,0.017
13,24:21.9,13,-2.386588,51.36372,134.1,7.1,0,0.017
14,24:22.9,14,-2.386588,51.36372,134.1,6,0,0.017
15,24:23.9,15,-2.386588,51.36372,134.1,7.2,0,0.017
16,24:24.9,16,-2.386588,51.36372,134.1,17.2,0,0.017
17,24:25.9,17,-2.386587,51.363721,133.8,17.3,0.3,0.018
18,24:26.9,18,-2.386584,51.36372,133.8,10.5,0.7,0.018
19,24:27.9,19,-2.386576,51.363719,134.4,10.8,2.1,0.018
20,24:28.9,20,-2.38656,51.363712,134.7,14.1,4.9,0.02
21,24:29.9,21,-2.386527,51.363692,135.4,16.6,11.4,0.023
22,24:30.9,22,-2.386537,51.363697,135.7,20.3,3,0.024
23,24:31.9,23,-2.38654,51.363697,135.3,21.4,0.7,0.024
24,24:32.9,24,-2.386542,51.363697,135.4,18.9,0.6,0.024
25,24:33.9,25,-2.386546,51.363699,135.5,19.1,1.2,0.024
26,24:34.9,26,-2.386551,51.363699,135.7,19.1,1.3,0.025
27,24:35.9,27,-2.386558,51.363698,135.6,15.2,1.9,0.025
28,24:36.9,28,-2.386566,51.363697,135.9,11.7,2,0.026
29,24:37.9,29,-2.386574,51.363694,135.3,12.7,2.3,0.026
30,24:38.9,30,-2.386578,51.363694,135.7,13.8,1,0.027
31,24:39.9,31,-2.386579,51.363695,135.2,12.8,0.7,0.027
32,24:40.9,32,-2.386581,51.363698,135.7,12.8,1.2,0.027
33,24:41.9,33,-2.386581,51.363698,135.7,13.8,0,0.027
34,24:42.9,34,-2.386578,51.363697,136,12.8,0.7,0.027
35,24:43.9,35,-2.386581,51.363696,135.9,12.8,0.9,0.028
36,24:44.9,36,-2.386585,51.363697,136,13.8,1.3,0.028
37,24:45.9,37,-2.386581,51.36371,136,12.8,5.3,0.03
38,24:46.9,38,-2.386592,51.363714,135.9,10.7,3.1,0.03
39,24:47.9,39,-2.386591,51.363716,136.1,9.7,1.1,0.031
40,24:48.9,40,-2.386589,51.363721,136,9.7,2.1,0.031
41,24:49.9,41,-2.386593,51.363721,135.9,9.7,1.2,0.032
42,24:50.9,42,-2.386595,51.363721,135.8,13,0.5,0.032
43,24:51.9,43,-2.386597,51.363725,135.7,13.1,1.4,0.032
44,24:52.9,44,-2.386595,51.363725,135.7,13.1,0.6,0.032
45,24:53.9,45,-2.386601,51.363729,135.6,12,2.3,0.033
46,24:54.9,46,-2.386621,51.363727,135.6,12,5,0.034
47,24:55.9,47,-2.386631,51.363729,135.6,12,2.6,0.035
48,24:56.9,48,-2.38664,51.363728,135.6,12,2.3,0.036
49,24:57.9,49,-2.386615,51.363736,135.6,18.1,7.1,0.038
50,24:58.9,50,-2.386613,51.363729,135.6,14.9,3,0.038
51,24:59.9,51,-2.386606,51.363711,135.5,13.8,7.5,0.041
52,25:00.9,52,-2.386602,51.363714,135.5,12.8,1.6,0.041
53,25:01.9,53,-2.386602,51.363714,135.5,12.8,0,0.041
54,25:02.9,54,-2.386623,51.363705,135.6,12.8,6.4,0.043
55,25:03.9,55,-2.386627,51.363701,135.7,11.8,2,0.043
56,25:04.9,56,-2.386627,51.3637,135.7,11.8,0,0.043
57,25:05.9,57,-2.386629,51.363699,135.8,10.8,0.6,0.043
58,25:06.9,58,-2.38663,51.363699,135.8,10.8,0.3,0.044
59,25:07.9,59,-2.38663,51.363699,135.8,10.8,0,0.044
60,25:08.9,60,-2.38662,51.363701,136,10.8,2.7,0.044
61,25:09.9,61,-2.386615,51.363703,136,10.8,1.4,0.045
62,25:10.9,62,-2.386609,51.363702,136,9.8,1.4,0.045
63,25:11.9,63,-2.386617,51.363698,136,8.7,2.5,0.046
64,25:12.9,64,-2.386614,51.363708,136,8.7,4.1,0.047
65,25:13.9,65,-2.38662,51.363713,136,9.9,2.6,0.048
66,25:14.9,66,-2.386627,51.363715,136,9.9,1.7,0.048
67,25:15.9,67,-2.386635,51.363717,136,9.9,2.2,0.049
68,25:16.9,68,-2.386635,51.363717,136,9.9,0,0.049
69,25:17.9,69,-2.386634,51.363718,135.9,8.9,0.3,0.049
70,25:18.9,70,-2.386632,51.363716,135.9,10,0.7,0.049
71,25:19.9,71,-2.386633,51.363716,135.9,7.9,0.5,0.049
72,25:20.9,72,-2.386633,51.363716,135.9,6.9,0.3,0.049
