Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
1,01:51.4,0,-2.381285,51.383431,22,0,0,0
2,01:52.4,1,-2.381369,51.383459,22,182.5,23.7,0.007
3,01:54.4,3,-2.381224,51.383397,22.8,181.8,21.9,0.019
4,01:55.4,4,-2.381056,51.383532,21.1,247.3,68.5,0.038
5,01:56.4,5,-2.380987,51.383621,24.7,236.7,39.5,0.049
6,01:57.4,6,-2.380995,51.383608,24.3,236.7,5.3,0.05
7,01:58.4,7,-2.380995,51.383604,24.2,236.7,1.6,0.051
8,01:59.4,8,-2.380997,51.3836,24.3,236.7,1.7,0.051
9,02:00.4,9,-2.381001,51.383597,24.2,236.7,1.5,0.052
10,02:01.4,10,-2.381003,51.383594,23.9,236.7,1.2,0.052
11,02:02.4,11,-2.381003,51.383594,23.9,236.7,0,0.052
12,02:03.4,12,-2.381003,51.383594,23.9,236.7,0,0.052
13,02:04.4,13,-2.381003,51.383593,23.3,236.7,0.6,0.052
14,02:05.4,14,-2.381003,51.383593,23.3,236.7,0,0.052
15,02:06.4,15,-2.381002,51.383592,23.3,236.7,0.5,0.052
16,02:07.4,16,-2.380995,51.383543,23.2,238.8,19.6,0.058
17,02:08.4,17,-2.380991,51.383486,22.9,243,22.8,0.064
18,02:09.4,18,-2.380999,51.383455,23,247.1,12.7,0.067
19,02:10.4,19,-2.381006,51.383419,23,250.2,14.6,0.072
20,02:11.4,20,-2.381015,51.383375,22.8,251.2,17.7,0.076
21,02:12.4,21,-2.381027,51.383319,22.5,251.2,22.4,0.083
22,02:13.4,22,-2.381033,51.383269,22.4,251.2,20.4,0.088
23,02:14.4,23,-2.381051,51.383215,22,251.2,22,0.094
24,02:15.4,24,-2.381061,51.383162,21.9,251.2,21.2,0.1
25,02:16.4,25,-2.381074,51.383096,21.6,251.2,26.6,0.108
26,02:17.4,26,-2.381088,51.383027,21.4,252.2,28.1,0.116
27,02:18.4,27,-2.381104,51.382974,21.3,252.2,21.6,0.122
28,02:19.4,28,-2.381089,51.382936,21.1,253.2,15.4,0.126
29,02:20.4,29,-2.3811,51.382893,20.9,253.2,17.7,0.131
30,02:21.4,30,-2.381134,51.38286,20.9,253.2,15.6,0.135
31,02:22.4,31,-2.381143,51.382816,21,253.2,18.1,0.14
32,02:23.4,32,-2.381162,51.382724,21.3,253.2,36.8,0.15
33,02:24.4,33,-2.381173,51.382669,21.1,251.2,22.3,0.156
34,02:25.4,34,-2.381156,51.382643,21.9,249.1,11.2,0.16
35,02:26.4,35,-2.381189,51.382605,21.9,249.1,17.4,0.164
36,02:27.4,36,-2.381186,51.38257,22.1,249.1,14,0.168
37,02:28.4,37,-2.381186,51.382541,22.8,248.1,11.8,0.172
38,02:29.4,38,-2.381193,51.382511,23.1,246.1,11.9,0.175
39,02:30.4,39,-2.381197,51.382484,23.5,246.1,10.8,0.178
40,02:31.4,40,-2.381209,51.382468,23.4,246.1,7.2,0.18
41,02:32.4,41,-2.381187,51.382462,23.6,246.1,5.9,0.182
42,02:33.4,42,-2.381186,51.382468,23.5,246.1,2.2,0.182
43,02:34.4,43,-2.381186,51.38247,23.5,246.1,1,0.182
44,02:35.4,44,-2.381186,51.382471,23.6,246.1,0.3,0.183
45,02:36.4,45,-2.381186,51.382473,23.5,246.1,0.8,0.183
46,02:37.4,46,-2.381186,51.382476,23.5,246.1,1.1,0.183
47,02:38.4,47,-2.381186,51.382474,23.5,246.1,0.8,0.183
48,02:39.4,48,-2.381185,51.382477,23.5,246.1,1.2,0.184
49,02:40.4,49,-2.381185,51.382477,23.4,246.1,0,0.184
50,02:41.4,50,-2.381185,51.382477,23.4,246.1,0,0.184
51,02:42.4,51,-2.381185,51.382477,23.4,246.1,0,0.184
52,02:43.4,52,-2.381185,51.382477,23.4,246.1,0,0.184
53,02:44.4,53,-2.381259,51.38248,23.4,246.1,18.5,0.189
54,02:45.4,54,-2.381259,51.38248,23.4,246.1,0,0.189
55,02:46.4,55,-2.381259,51.38248,23.4,246.1,0,0.189
56,02:47.4,56,-2.381259,51.38248,23.4,246.1,0,0.189
57,02:48.4,57,-2.381259,51.38248,23.4,246.1,0,0.189
58,02:49.4,58,-2.381259,51.38248,23.4,246.1,0,0.189
59,02:50.4,59,-2.381259,51.38248,23.4,246.1,0,0.189
60,02:51.4,60,-2.381259,51.38248,23.4,245.1,0,0.189
61,02:52.4,61,-2.381259,51.38248,23.4,245.1,0,0.189
