GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
1,20:35.1,0,-2.436941,51.377306,73.6,0,0,0
2,20:36.1,1,-2.436952,51.377306,73.6,154.3,2.7,0.001
3,20:42.1,7,-2.436951,51.377336,73.6,154.4,2,0.004
4,20:48.1,13,-2.436949,51.377336,73.6,175,0.1,0.004
5,20:49.1,14,-2.436957,51.377335,73.6,190.1,2.1,0.005
6,20:55.1,20,-2.436951,51.377341,73.6,207.1,0.5,0.006
7,21:01.1,26,-2.43695,51.377339,73.6,204.7,0.1,0.006
8,21:07.1,32,-2.43695,51.377336,73.6,206.8,0.2,0.006
9,21:08.1,33,-2.436948,51.3773,73.6,207.9,14.4,0.01
10,21:14.1,39,-2.436949,51.377328,73.6,205,1.9,0.013
11,21:20.1,45,-2.43695,51.377335,73.6,206.7,0.5,0.014
12,21:21.1,46,-2.43694,51.377302,73.6,206.7,13.5,0.018
13,21:27.1,52,-2.436938,51.377294,73.6,206.7,0.6,0.019
14,21:34.1,59,-2.436956,51.377284,73.6,207.6,0.9,0.02
15,21:35.1,60,-2.436945,51.377287,73.6,207.6,3.3,0.021
16,21:50.1,75,-2.436959,51.377281,73.6,207.6,0.3,0.023
17,21:59.1,84,-2.436962,51.377284,73.6,165.2,0.2,0.023
18,22:00.1,85,-2.436952,51.377329,73.6,198.3,18.3,0.028
19,22:06.1,91,-2.436951,51.377338,73.6,211.1,0.6,0.029
20,22:12.1,97,-2.436948,51.37733,73.6,210.6,0.6,0.03
21,22:13.1,98,-2.436942,51.377296,73.6,210.6,13.7,0.034
22,22:19.1,104,-2.436947,51.377325,73.6,213.7,1.9,0.037
23,22:25.1,110,-2.436947,51.377331,73.6,210.7,0.4,0.038
24,22:26.1,111,-2.436943,51.377309,73.6,210.7,9.1,0.04
25,22:32.1,117,-2.43695,51.377339,73.6,211.9,2,0.044
26,22:40.1,125,-2.436949,51.377332,73.6,199.6,0.3,0.044
27,22:46.1,131,-2.43695,51.377336,73.6,182.2,0.3,0.045
28,22:47.1,132,-2.436956,51.377334,73.6,183.2,1.5,0.045
29,22:53.1,138,-2.43695,51.377339,73.6,181.5,0.4,0.046
30,23:02.1,147,-2.43695,51.377334,73.6,192.4,0.2,0.047
31,23:08.1,153,-2.43695,51.37734,73.6,187.7,0.4,0.047
32,23:09.1,154,-2.436958,51.377327,73.6,187.7,5.4,0.049
33,23:15.1,160,-2.436953,51.377335,73.6,187.7,0.5,0.05
34,23:30.1,175,-2.436951,51.377331,73.6,183.9,0.1,0.05
35,23:31.1,176,-2.436942,51.377302,73.6,186,11.8,0.053
36,23:37.1,182,-2.436947,51.377328,73.6,187.1,1.7,0.056
37,23:38.1,183,-2.43695,51.377312,73.6,187.1,6.4,0.058
38,23:53.1,198,-2.436951,51.377308,73.6,187.1,0.1,0.058
39,23:59.1,204,-2.43695,51.377333,73.6,182.2,1.7,0.061
40,24:00.1,205,-2.436953,51.377315,73.6,182.2,7.4,0.063
41,24:13.1,218,-2.43695,51.377334,73.6,179.3,0.6,0.065
42,24:19.1,224,-2.436951,51.37733,73.6,182.2,0.3,0.066
43,24:20.1,225,-2.436949,51.377304,73.6,179,10.3,0.069
44,24:26.1,231,-2.43695,51.377326,73.6,177,1.5,0.071
