GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
1,42:10.4,0,-2.441735,51.372068,82.8,135.7,0,0
2,42:11.4,1,-2.441754,51.372097,83.4,328.5,12.4,0.003
3,42:12.4,2,-2.441768,51.372108,82.5,335.2,5.6,0.005
4,42:13.4,3,-2.441777,51.372114,82.9,336.4,3.3,0.006
5,42:14.4,4,-2.441786,51.372123,84.1,324.5,4.3,0.007
6,42:15.4,5,-2.441795,51.372135,84.2,336.3,5.1,0.009
7,42:16.4,6,-2.441803,51.372149,84.2,329.7,6,0.01
8,42:17.4,7,-2.441817,51.372165,83.6,338.7,7.4,0.012
9,42:18.4,8,-2.441822,51.372174,83.2,341.4,3.9,0.013
10,42:19.4,9,-2.441824,51.372178,83.3,326,1.7,0.014
11,42:20.4,10,-2.441827,51.372189,82.9,344.9,4.4,0.015
12,42:21.4,11,-2.441839,51.372206,83.5,334.2,7.3,0.017
13,42:22.4,12,-2.441848,51.372222,83.3,89.2,6.8,0.019
14,42:23.4,13,-2.44185,51.372234,83.8,84.4,4.9,0.02
15,42:24.4,14,-2.441855,51.372256,83.5,106.8,8.8,0.023
16,42:25.4,15,-2.44186,51.372272,83.7,109.2,6.4,0.025
17,42:26.4,16,-2.441859,51.372279,83.8,89.1,2.9,0.025
18,42:27.4,17,-2.441868,51.372284,84,85.1,2.8,0.026
19,42:28.4,18,-2.44188,51.372292,84.7,87.3,4.4,0.027
20,42:29.4,19,-2.441894,51.372306,84.9,83.1,6.9,0.029
21,42:30.4,20,-2.441896,51.372321,85.2,87.2,5.9,0.031
22,42:31.4,21,-2.441893,51.372335,84.7,80.6,5.8,0.033
23,42:32.4,22,-2.441889,51.372348,85.3,77,5.1,0.034
24,42:33.4,23,-2.441887,51.372361,85.3,80.8,5.4,0.035
25,42:34.4,24,-2.441881,51.372374,85.6,89.2,5.5,0.037
26,42:35.4,25,-2.441878,51.372385,86.3,102,4.5,0.038
27,42:36.4,26,-2.441896,51.372365,73.1,99.2,9.5,0.041
28,42:37.4,27,-2.441862,51.372376,73.1,93.6,9.6,0.044
29,42:38.4,28,-2.441873,51.372392,73,97.2,6.9,0.045
30,42:39.4,29,-2.441884,51.372411,72.9,96.4,8,0.048
31,42:40.4,30,-2.441882,51.372422,72.9,98.3,4.6,0.049
32,42:41.4,31,-2.441843,51.372425,72.9,98.7,9.5,0.052
33,42:42.4,32,-2.441868,51.372434,72.9,90,7.3,0.054
34,42:43.4,33,-2.441878,51.372438,73.2,91.7,3,0.054
35,42:44.4,34,-2.441883,51.372453,73,87.5,5.9,0.056
36,42:45.4,35,-2.441888,51.372454,73.1,88.9,1.3,0.056
37,42:46.4,36,-2.441896,51.372471,73.1,92.8,7.2,0.058
38,42:47.4,37,-2.441907,51.37249,73.1,95.2,8,0.061
39,42:48.4,38,-2.441908,51.372499,72.8,90.4,3.9,0.062
40,42:49.4,39,-2.441914,51.372515,72.6,81.6,6.5,0.064
41,42:50.4,40,-2.441928,51.372532,72.6,81.2,7.8,0.066
42,42:51.4,41,-2.441947,51.372551,72.3,78.2,8.8,0.068
43,42:52.4,42,-2.441987,51.372544,72.3,83.7,10.3,0.071
44,42:53.4,43,-2.441985,51.372552,72.9,90.6,3.2,0.072
45,42:54.4,44,-2.441989,51.37256,72,106.9,3.2,0.073
46,42:55.4,45,-2.441995,51.372577,72.3,110.2,6.9,0.075
47,42:56.4,46,-2.442006,51.372599,71.8,122.8,9.2,0.077
48,42:57.4,47,-2.442001,51.372619,72.2,127.4,8.2,0.08
49,42:58.4,48,-2.441995,51.372638,71.8,127.2,7.9,0.082
50,42:59.4,49,-2.441988,51.37263,71.5,136,3.7,0.083
51,43:00.4,50,-2.441978,51.372632,72.4,142.1,2.7,0.084
52,43:01.4,51,-2.441962,51.372641,70.4,169.3,5.5,0.085
53,43:02.4,52,-2.441942,51.372654,70.9,154.2,7.2,0.087
54,43:03.4,53,-2.441926,51.37266,70.8,161.2,4.7,0.088
55,43:04.4,54,-2.441904,51.372671,70.5,158.5,6.9,0.09
56,43:05.4,55,-2.441881,51.372678,70.9,145.3,6.5,0.092
57,43:06.4,56,-2.441852,51.37268,70.6,157.4,7.3,0.094
58,43:07.4,57,-2.441842,51.372691,70.1,186.7,5.3,0.096
59,43:08.4,58,-2.441816,51.372705,70,216.3,8.7,0.098
60,43:09.4,59,-2.441795,51.372707,70.7,231.6,5.1,0.099
